ID;DescriÃ§Ã£o;Categoria;Fornecedor;Quantidade;Valor Custo;Valor Recomendado;imei;Loja
;FONE KIMASTER TWS300;Áudio;;13;R$ 45;R$ 100;;Águas Lindas Shopping
;SUPORTE MAGNETICO  ÁGOLD;Acessórios - Geral;;3;R$ 15;R$ 30;;Águas Lindas Shopping
;MOUSE ERGONOMIC ;Periféricos ;;2;R$ 65;R$ 110;;Águas Lindas Shopping
;KIT CARREGADOR SAMSUNG;Carregadores;;3;R$ 35;R$ 70;;Águas Lindas Shopping
;FONE COM FIO TYPEC;Áudio;;2;R$ 15;R$ 30;;Águas Lindas Shopping
;MICROFONE DE LAPELLA FAM;Áudio;;4;R$ 100;R$ 180;;Águas Lindas Shopping
;MICROFONE DE LAPELLA ÁGOLD;Áudio;;2;R$ 85;R$ 150;;Águas Lindas Shopping
;MICROFONE DE LAPELLA PEINING;Áudio;;1;R$ 80;R$ 150;;Águas Lindas Shopping
;MICROFONE DE LAPELLA ONISTEK ;Áudio;;2;R$ 75;R$ 120;;Águas Lindas Shopping
;SUPORTE 360;Acessórios - Geral;;2;R$ 75;R$ 150;;Águas Lindas Shopping
;LUZ DE SELFIE ;Acessórios - Geral;;3;R$ 45;R$ 80;;Águas Lindas Shopping
;TRAVA ANTI-FURTO ;Acessórios - Geral;;3;R$ 25;R$ 50;;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508512;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508504;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508496;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508488;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508470;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508462;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508454;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508447;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508439;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508421;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508413;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508397;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508389;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508371;Águas Lindas Shopping
;CHIP CLARO;Acessórios - Geral;;1;R$ 1,00;R$ 39,90;89550532990208508363;Águas Lindas Shopping
